;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r;lang-t;lang
133;6085970206;5;La Maison Blanche;2020-06-17T06:10:30Z;tsm energies services;L’appareil est très bien fait;;;;fr;;fr
253;6045921703;5;Top 👍;2020-06-07T08:24:01Z;Sécu2007;Très bonne application, très utile pour connaître les taux de pollution.;;;;fr;;fr
233;5974704788;5;Très bien;2020-05-21T13:31:13Z;Cjchavanne;Très bien;;;;fr;;fr
192;5935245643;5;Pratique;2020-05-12T10:32:33Z;ManuLes;Application très pratique pour savoir si l’air de l’endroit où l’on se trouve est bonne à respirer.;;;;fr;;fr
82;5928224600;5;Indispensable pour comprendre la planète !;2020-05-10T16:15:52Z;Zlyzinc;Application indispensable à donner - notamment - aux jeunes pour comprendre l’interaction des pollutions dans le cadre de la planète entière...;;;;fr;;fr
101;5880383779;5;Pure;2020-04-29T16:28:33Z;LeRobuste;Utile pour choisir son lieu d’habitation !;;;;fr;;fr
30;5861098851;5;Nécessaire !!!;2020-04-25T08:30:31Z;dadocrocro;"Très bon curseur sur la qualité d’air , cela influe sur mes décisions de footing , d’aération des pièces et aussi rassurant . 
Nickel 😁";;;;fr;;fr
161;5812324035;5;Super;2020-04-14T23:21:16Z;jeff13390;Très bien;;;;fr;;fr
156;5796061037;5;Très utile;2020-04-11T13:18:39Z;Rbati;Belle application et surtout très utile. Faudra inclure plus de pays et villes en favoris et ca sera parfait.;;;;fr;;fr
21;5794631206;5;Angkor air pur;2020-04-11T06:14:29Z;Asiasusu;"La forêt du parc archéologique n’est plus polluée par les bus et véhicules de tourisme. Le site et la ville sont déserts, nous y respirons mieux mais la population espère le retour des touristes. C’est la ressource économique de Siem Reap ANGKOR city.
Programmez votre voyage et découvrez ce lieu magique.";;;;fr;;fr
37;5784777615;5;Utile;2020-04-09T07:30:51Z;A Natalia;Très pratique notamment en cas de Sortie limitée au strict nécessaire;;;;fr;;fr
234;5750219533;5;Très bien;2020-04-02T09:59:41Z;legoutdelucio;Très bien;;;;fr;;fr
174;5736526628;5;Très utile;2020-03-30T16:38:11Z;crockiwi;Simple d’utilisation et adapté à mon usage.;;;;fr;;fr
39;5727497599;5;Précise;2020-03-28T19:50:45Z;Lolive64;Super appli. Complète.;;;;fr;;fr
47;5725258719;5;Une appli vraiment utile;2020-03-28T09:47:49Z;JJLamorozo;"Information précise, appli simple à utiliser 
Bravo";;;;fr;;fr
34;5723330200;5;Excellente Application Complète;2020-03-27T23:28:22Z;Ems360;EXCELLENT pour obtenir les informations essentielles sur la qualité de l'air, les particules fines dans votre ville, ou ailleurs.;;;;fr;;fr
90;5710064430;5;Très utile surtout aujourd’hui !;2020-03-25T08:14:29Z;Isaloulou;"Très utile surtout aujourd’hui avec cet arrêt mondial ; on se rend compte très vite que notre non activité permet a l’air de se régénérer...";;;;fr;;fr
67;5692964059;5;Précis et fiable;2020-03-21T18:15:04Z;Beslabes26;Pratique pour connaître les conditions de pollution surtout avant de faire du sport;;;;fr;;fr
73;5672150956;5;Très utile;2020-03-17T10:20:30Z;GizmoMogwaille;Cette App est très utile pour obtenir une indication rationnelle de la qualité de l’air.;;;;fr;;fr
244;5626781444;5;Pratique;2020-03-07T05:55:03Z;Miracle_soumis;Application pratique et détaillée.;;;;fr;;fr
48;5620712873;5;Très utile;2020-03-05T19:31:02Z;D0NUTMAN;Appli très pratique et précise ! Super si vous voulez savoir la qualité de l’air;;;;fr;;fr
205;5591683289;5;Superbe application;2020-02-28T11:50:52Z;Pascal2204;Très belle et efficace application;;;;fr;;fr
191;5566947691;5;Ultreia;2020-02-22T20:22:26Z;ultreia03;Excellent application qui m’aide à préparer mes séances de sport !;;;;fr;;fr
245;5530739700;5;Cette application est vraiment ICÔNIC;2020-02-14T16:02:03Z;Anastasia7542;j’adore;;;;pt;fr;fr
243;5507815573;5;AirVisual;2020-02-09T11:20:47Z;avisdu7;Très bonne application que je recommande à tout le monde;;;;fr;;fr
235;5494339841;5;Très utile;2020-02-06T08:50:12Z;Nalalilala;Très utile;;;;fr;;fr
171;5464994815;5;Indispensable;2020-01-30T06:44:18Z;jack57255;"Une application indispensable sur son téléphone, je recommande vivement.
Je vois la pollution différemment";;;;fr;;fr
251;5461386439;5;chatounee;2020-01-29T07:59:03Z;chatouneee;Application très utile pour savoir le meilleur jour pour aller courir !;;;;fr;;fr
22;5450219493;5;Précise et sérieuse;2020-01-26T09:20:57Z;peccher;"Très bonne appli au quotidien. Vous pouvez organiser vos journées sports ou sorties en famille 
Merci !";;;;fr;;fr
281;5447829632;5;Super;2020-01-25T18:03:46Z;Neo38080;Excellente application, très utile;;;;fr;;fr
7;5445940733;5;Précise et mesures locales;2020-01-25T08:09:16Z;sebclry;Les mesures locales sont très utiles par rapport aux autres applications;;;;fr;;fr
158;5443215610;5;Indispensable;2020-01-24T15:43:22Z;kris.robert78;Indispensable à toute personne ce sentant concerné par son existence sur notre planète;;;;fr;;fr
28;5438296141;5;Expat à Bangkok : très utile !;2020-01-23T11:04:26Z;beadn;Merci à l’appli qui nous permet de savoir quand il faut éviter de sortir ou d’aller faire du sport ! Et nous l’avons aussi utilisée pour acheter des masques. Nous avons aussi acheté le capteur qui nous permet de contrôler la puissance du purificateur d’air.;;;;fr;;fr
152;5437645928;5;Une aide pour choisir;2020-01-23T06:51:34Z;pekinois;Application utile pour décider quand et quoi faire a l’extérieur.;;;;fr;;fr
138;5413852805;5;Je consulte AirVisual tous les jours;2020-01-17T07:45:53Z;pglyol13;Très pratique;;;;fr;;fr
98;5380475540;5;Aide bien par les temps qui courent;2020-01-09T12:00:11Z;Edi head;Très ultile vue la pollution à Bangkok;;;;fr;;fr
227;5379497930;5;Indispensable!;2020-01-09T06:59:59Z;Mocassindo;Indispensable pour commencer la journée en toute conscience !;;;;fr;;fr
42;5377006500;5;Super appli;2020-01-08T16:40:05Z;Medidondtoi;"Appli très utile qui permet de connaître la pollution à l’échelle mondiale en temps réel.
Elle casse les idées reçues, par exemple la qualité de l’air à Paris est très bonne comparée à d’autres villes de France !";;;;fr;;fr
207;5363784308;5;best application ever;2020-01-05T11:31:02Z;yjgycyfyc;ça m’aide pour tout les jours c’est juste trop bien, ça m’évite de respirer la pollutions;;;;fr;;fr
237;5351482947;5;Qualité de l’air;2020-01-02T15:16:42Z;fingridni;Très utile et facile à utiliser;;;;fr;;fr
65;5342101277;5;Super !;2019-12-31T10:15:24Z;Actuarial;Vraiment utile de voir les variations journalières et de se constituer un historique en fonction des lieux où on se rend.;;;;fr;;fr
288;5322759527;5;sympa;2019-12-26T17:46:54Z;Silvercf2;claire et précis;;;;fr;;fr
69;5305778459;5;Excellente application pour connaître la qualité de l’air dans le monde entier;2019-12-22T19:38:07Z;pilt74;Excellente application;;;;it;fr;fr
